The project is about Monthly Production of Petroleum Products by Refineries & Fractionators

Month,Year,Products,"Quantity (000 Metric Tonnes)",updated_date
November,2022,ATF,1184.47,2024-03-19
November,2022,LUBES,116.29,2024-03-19
November,2022,Others,2504.03,2024-03-19
December,2022,"MS Others",1302.67,2024-03-19
December,2022,LDO,41.73,2024-03-19
December,2022,LUBES,130.09,2024-03-19
December,2022,FO,831.70,2024-03-19
December,2022,BITUMEN,448.90,2024-03-19
December,2022,RPC/Petcoke,1361.12,2024-03-19
January,2023,LUBES,125.75,2024-03-19
February,2023,ATF,1323.31,2024-03-19
February,2023,FO,713.27,2024-03-19
March,2023,NAPHTHA,1487.28,2024-03-19
March,2023,"MS Others",1631.96,2024-03-19
March,2023,"HSD Others",2794.05,2024-03-19
March,2023,LUBES,269.04,2024-03-19
